Date,Name,Age,Position,Nationality,Club Left,League Left,Club Joined,League Joined,Market Valuation,Transfer
"Nov 15, 2006",Mark Wilson,27,Central Midfield,England,"
Without Club ",,"
Doncaster ",,"1,75 mil. €",-
"Nov 16, 2006",Hamed Kavianpour,27,Central Midfield,Iran,"
Kayserispor ", Süper Lig ,"
Steel Azin ",,700 K €,Free transfer
"Nov 17, 2006",Liam Lawrence,24,Attacking Midfield,Ireland,"
Sunderland ", Championship ,"
Stoke City ",,800 K €,500 K €
"Nov 20, 2006",Norbert Tóth,30,Left Midfield,Hungary,"
Without Club ",,"
Rákospalota ",,50 K €,-
"Nov 22, 2006",Adam Birchall,21,Centre-Forward,Wales,"
Mansfield Town ", League Two ,"
Barnet ",,100 K €,Free transfer
"Nov 22, 2006",Paul Butler,34,Centre-Back,Ireland,"
Leeds ", Championship ,"
MK Dons ",,"2,00 mil. €",Free transfer
"Dec 1, 2006",Tomasz Klos,33,Centre-Back,Poland,"
Wisla Kraków ", Ekstraklasa ,"
LKS Lodz ",,675 K €,Free transfer
"Dec 1, 2006",Dirk Schuster,38,Centre-Back,Germany,"
ASV Durlach ", VL Nordbaden ,"
FC Wilferdingen ",,50 K €,Free transfer
"Dec 1, 2006",Andreas Haas,24,Centre-Forward,Germany,"
TSG Hoffenheim ", Regionalliga Süd ,"
FK Pirmasens ",,75 K €,Free transfer
"Dec 1, 2006",Torsten Reuter,24,Defensive Midfield,Germany,"
Saarbrücken ", Regionalliga Süd ,"
Wehen Wiesbaden ",,400 K €,Free transfer
"Dec 1, 2006",Edwin Bediako,26,Centre-Back,Ghana,"
Rot Weiss Ahlen ", Regionalliga Nord ,"
SV Elversberg ",,100 K €,Free transfer
"Dec 1, 2006",Kai Hillmann,29,Goalkeeper,Germany,"
RFCU Luxembourg ", BGL Ligue ,"
FSV Salmrohr ",,150 K €,Free transfer
